date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-30 20:46:57,ewarren,,72,86,285,"Our November fundraising deadline is tonight. For some candidates, it’s crunch time for swooping up big checks from wealthy donors and PACs. Not me. #TeamWarren reaches fundraising goals one $3, $10, or $7 donation at a time. Will you chip in now?https://secure.actblue.com/donate/soc-nov19fr?refcode=soc-FR-ew-tw-eom …",,,#TeamWarren,1200878908918452224,https://twitter.com/ewarren/status/1200878908918452224
2019-11-30 20:08:15,ewarren,PaaWeeRivera,78,92,624,"I'm proud to have @PaaWeeRivera on my team every single day. I know that, together, we'll be able to work with Tribal Nations and indigenous peoples to build stronger communities and a brighter future.https://twitter.com/PaaWeeRivera/status/1200867327463456768 …",,@PaaWeeRivera,,1200869168280678400,https://twitter.com/ewarren/status/1200869168280678400
2019-11-30 19:21:00,ewarren,,64,123,608,"Frank LaMere was a dedicated activist who left behind an incredible legacy. I'll keep fighting to carry on that legacy by strengthening the relationship between the federal government and Tribal Nations. #NativeAmericanHeritageMonthpic.twitter.com/Q28bXzfWLM",,,#NativeAmericanHeritageMonthpic,1200857276287979520,https://twitter.com/ewarren/status/1200857276287979520
2019-11-30 16:56:07,ewarren,,402,902,3846,"On just about every issue we care about—from criminal justice to immigration, affordable housing, climate change, health care, and gun violence—money and influence are holding up widely popular policies. If we want to make any progress, we must root out corruption in Washington.",,,,1200820817065652224,https://twitter.com/ewarren/status/1200820817065652224
2019-11-30 15:23:54,ewarren,,252,426,1714,"Happy #SmallBusinessSaturday! I've got a plan to use $7 billion in funding grants to help entrepreneurs of color get their small businesses off the ground—and fully close the startup capital gap.https://elizabethwarren.com/plans/leveling-field-entrepreneurs-color?source=soc-WB-ew-tw …",,,#SmallBusinessSaturday,1200797607918014464,https://twitter.com/ewarren/status/1200797607918014464
2019-11-30 02:00:36,ewarren,,189,657,3002,"Tribal Nations must be able to protect their citizens from domestic violence by non-Native perpetrators. The Violence Against Women Act must be reauthorized and recognize Tribal Nations' inherent authority to prosecute non-Natives who commit these crimes.https://www.buzzfeednews.com/article/clarissajanlim/violence-indigenous-women-vawa-concern-congress-ernst …",,,,1200595452376125440,https://twitter.com/ewarren/status/1200595452376125440
2019-11-29 22:37:08,ewarren,,6083,5491,24675,"It's a point I've made since my very first campaign: Nobody in this country got rich on their own. They relied on infrastructure we all paid for, employees we all paid to educate. So if you're successful, good for you—now pay it forward so everyone has a chance at success.pic.twitter.com/FAuZhggAGk",,,,1200544248996622336,https://twitter.com/ewarren/status/1200544248996622336
2019-11-29 19:46:38,ewarren,,1246,3621,23034,"I got a high-quality public education for just $50 a semester—but that opportunity doesn't exist today. States invested less in our public colleges and shifted the burden onto students. I'm fighting for universal public college so every student has the opportunity to succeed.",,,,1200501338959777792,https://twitter.com/ewarren/status/1200501338959777792
2019-11-28 02:39:18,ewarren,CNN,367,1641,9914,"We're so grateful for everyone who does necessary work over the holidays to keep us safe and healthy. But too many giant corporations shamefully choose profits over people by staying open on Thanksgiving. Retail workers deserve to spend time with their loved ones, too.https://twitter.com/CNN/status/1199757316830253064 …",,,,1199880414757715969,https://twitter.com/ewarren/status/1199880414757715969
2019-11-27 19:22:27,ewarren,,3609,6303,23848,"This is cruel and appalling. These students simply dreamed of getting the high-quality higher education America can offer. ICE deceived and entrapped them, just to deport them.https://www.freep.com/story/news/local/michigan/2019/11/27/ice-arrested-250-foreign-students-fake-university-metro-detroit/4277686002/ …",,,,1199770479189319681,https://twitter.com/ewarren/status/1199770479189319681
2019-11-27 02:13:41,ewarren,,320,2966,11238,"Google recently hired a notorious union-busting firm—and yesterday, fired four employees who were organizing their colleagues and holding Google accountable. I stand with Rebecca Rivers and her colleagues. I’ll always fight to protect workers’ rights.https://www.nytimes.com/2019/11/25/technology/google-fires-workers.html …",,,,1199511583413669889,https://twitter.com/ewarren/status/1199511583413669889
2019-11-26 22:02:40,ewarren,,189,364,2018,"Dream big, fight hard, put on your sweatshirt, and let’s get to work!pic.twitter.com/JP6wo9OkNp",,,,1199448412602560514,https://twitter.com/ewarren/status/1199448412602560514
2019-11-26 20:45:08,ewarren,TheDailyShow,247,1222,5817,"Yup, I’m tired of “Woe Is Me” billionaires too, @TrevorNoah. My #WealthTax will help families afford child care, college, and free an entire generation from student loan debt—and the billionaires will be just fine.https://twitter.com/TheDailyShow/status/1199040304256442368 …",,@TrevorNoah,#WealthTax,1199428897156128768,https://twitter.com/ewarren/status/1199428897156128768
2019-11-26 19:31:02,ewarren,,449,1420,6862,"Some billionaires figured it might be cheaper to run for president than pay my #WealthTax. Well they don’t have the power of a grassroots movement—and in our democracy, I believe in the power of people over money.pic.twitter.com/tDo1Rjg4WM",,,#WealthTax,1199410249318297600,https://twitter.com/ewarren/status/1199410249318297600
2019-11-25 23:28:52,ewarren,,570,1327,7631,"I've proposed the biggest and most progressive increase in Social Security benefits in nearly half a century—an immediate $200 monthly increase. Families need financial security.",,,,1199107716536393728,https://twitter.com/ewarren/status/1199107716536393728
2019-11-25 00:45:19,ewarren,,2171,13073,62581,"#TenYearChallenge Federal Minimum Wage, 2009: $7.25 Federal Minimum Wage, 2019: $7.25 It's time to #RaiseTheWage.",,,#TenYearChallenge #RaiseTheWage,1198764566382923776,https://twitter.com/ewarren/status/1198764566382923776
2019-11-24 22:26:08,ewarren,,500,1673,8826,"Let’s be clear: Our government criminalizes too many things and sends too many people to jail. In a Warren administration, we will: Repeal the 1994 Crime Bill Legalize marijuana Undo the legacy of the War on Drugs End cash bail and private prisons",,,,1198729540056432640,https://twitter.com/ewarren/status/1198729540056432640
2019-11-24 01:10:24,ewarren,sunrisemvmt,1479,2153,14431,"I support the students, organizers, and activists demanding accountability on climate action and more at #HarvardYale. Climate change is an existential threat, and we must take bold action to fight this crisis.https://twitter.com/sunrisemvmt/status/1198349064472944640 …",,,#HarvardYale,1198408492677246976,https://twitter.com/ewarren/status/1198408492677246976
2019-11-23 15:09:29,ewarren,,996,2342,11686,"Donald Trump is a walking, talking conflict of interest. It should be illegal for a president to twist the rules of our government to make themselves richer. Under my anti-corruption bill—the biggest since Watergate—it would be.https://www.washingtonpost.com/politics/secret-service-spent-quarter-of-a-million-dollars-at-trumps-properties-in-first-five-months-of-his-term-records-show/2019/11/21/ea66d588-0c80-11ea-8397-a955cd542d00_story.html …",,,,1198257266685829121,https://twitter.com/ewarren/status/1198257266685829121
2019-11-23 02:34:52,ewarren,,541,2220,14983,"People who made it big should chip in to make sure that everyone else can make it, too.https://www.cnbc.com/2019/11/22/disney-heiress-endorses-elizabeth-warrens-wealth-tax.html …",,,,1198067358771875840,https://twitter.com/ewarren/status/1198067358771875840
2019-11-29 21:13:20,ewarren,,116,468,1666,"When a private equity firm acquired a doctors group, patients experienced more aggressive medical debt collection lawsuits. Wall Street shouldn't be profiting off of the poorest patients. We need to rein in Wall Street—and we need #MedicareForAll.https://www.propublica.org/article/this-doctors-group-is-owned-by-a-private-equity-firm-and-repeatedly-sued-the-poor-until-we-called-them …",,,#MedicareForAll,1200523159599902720,https://twitter.com/ewarren/status/1200523159599902720
2019-11-29 14:47:47,ewarren,,382,491,2367,"America must uphold its commitments and promises to Tribal Nations and indigenous peoples—and give them a fighting chance to build stronger communities and a brighter future. I've got a plan for that. #NativeAmericanHeritageMonthhttps://elizabethwarren.com/plans/tribal-nations?source=soc-WB-ew-tw …",,,#NativeAmericanHeritageMonthhttps,1200426131008081920,https://twitter.com/ewarren/status/1200426131008081920
2019-11-28 18:17:20,ewarren,,435,456,4340,"Thanksgiving was always a big gathering in our family. The holiday brought in family from Texas, Arkansas, and Kansas. That meant LOTS of planning over who would bring what, how much, and so on. One year, Aunt Max, my mother’s oldest sister, volunteered to bring the turkey.pic.twitter.com/7VS3mDxfSg",,,,1200116477682057216,https://twitter.com/ewarren/status/1200116477682057216
2019-11-28 16:22:02,ewarren,,402,1089,10316,"This year, I'm grateful for my family, for the incredible opportunities I've had, for the many wonderful people I’ve met, and for the grassroots movement that is fighting alongside me. From my family to yours: Happy Thanksgiving!",,,,1200087461411450880,https://twitter.com/ewarren/status/1200087461411450880
2019-11-26 18:14:33,ewarren,,217,423,2106,"Fighting for the #GreenNewDeal isn't just about fighting climate change. It's a commitment to building a better future for the working people of our country by creating millions of good union jobs. We can’t fight climate change with a low-wage economy.",,,#GreenNewDeal,1199391004903632896,https://twitter.com/ewarren/status/1199391004903632896
2019-11-26 14:12:29,ewarren,,298,706,2858,"We need bold action now to pass the #GreenNewDeal, build a green new economy, and defeat the climate crisis—and I've got a plan for that. I'm proud to work alongside groups like @SunriseMvmt to build the grassroots movement we need to fight climate change.pic.twitter.com/GHJKDCloow",,@SunriseMvmt,#GreenNewDeal,1199330085184004096,https://twitter.com/ewarren/status/1199330085184004096
2019-11-25 21:03:02,ewarren,,820,1658,7931,"Michael Bloomberg may think he doesn't need people to win this election—he just needs bags of money. He’s wrong. That's why I'm investing in meeting thousands of voters, taking over 85,000 selfies, and building a grassroots movement that will fight for big, structural change.pic.twitter.com/DZftlFvyqi",,,,1199071014409273344,https://twitter.com/ewarren/status/1199071014409273344
2019-11-25 18:15:01,ewarren,,906,3025,13209,"Experts agree: Broad student debt cancellation would supercharge economic growth by freeing a generation crushed by debt. Candidates who oppose it should explain why punishing young people matters more than promoting home ownership and business creation.https://www.npr.org/2019/11/25/782070151/forgiving-student-debt-would-boost-economy …",,,,1199028732280729600,https://twitter.com/ewarren/status/1199028732280729600
2019-11-23 21:29:41,ewarren,washingtonpost,140,804,3158,"This guy was Mick Mulvaney’s right-hand man in Congress. Now, he has a plum job as a payday loan lobbyist and is cozying up to Mulvaney to advance his clients’ interests. In a Warren administration, we’ll stand up to lobbyists and the predatory loan industry.https://twitter.com/washingtonpost/status/1197219062855741440 …",,,,1198352946704109569,https://twitter.com/ewarren/status/1198352946704109569
2019-11-23 01:45:58,ewarren,,357,941,4523,"Iranians have taken to the streets to protest corruption and authoritarianism. This struggle must ultimately be fought and won by the people of Iran, but we support their demand for dignity, freedom to connect to the outside world, and right to peacefully demonstrate.",,,,1198055055926185984,https://twitter.com/ewarren/status/1198055055926185984
