date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-29 22:11:51,damianh,Donster2112,0,0,0,"I know what Fox News calls it. They call it the policies that Bernie Sanders and Elizabeth Warren push. And every policy they push, the countries I mentioned already have.",,,,1200537883993620480,https://twitter.com/damianh/status/1200537883993620480
2019-11-29 22:11:50,Reg_Gen,P_Ski18,0,0,0,"Depends on his contract though. If you have a copy of his contract, let's see it.",,,,1200537880877322241,https://twitter.com/Reg_Gen/status/1200537880877322241
2019-11-29 22:11:49,blesseday_42,SaraCarterDC,0,0,0,"Wouldn’t it be great if they were all defeated !",,,,1200537876645261315,https://twitter.com/blesseday_42/status/1200537876645261315
2019-11-29 22:11:45,JohnATron4,MichaelforBeto,0,0,0,"Bernie Sanders",,,,1200537859976859648,https://twitter.com/JohnATron4/status/1200537859976859648
2019-11-29 22:11:40,trudygonzales,RabbiJill,0,0,0,"Elizabeth Warren and Bernie Sanders have very similar plans where are the negative articles on Bernie? Kamala Harris must scare people because she is a strong black woman",,,,1200537838963613696,https://twitter.com/trudygonzales/status/1200537838963613696
2019-11-29 22:11:40,toyshowsue,SaraCarterDC,0,0,0,"Good question. What are the pros and cons",,,,1200537838166642693,https://twitter.com/toyshowsue/status/1200537838166642693
2019-11-29 22:11:38,DeplorableBabe,DeplorableBabe,0,0,0,"SERIOUS QUESTION: Shouldn't the House and Senste Democrats running for President be prevented from voting on impeachment? Wouldn't that be using their office against a political opponent?",,,,1200537829635510273,https://twitter.com/DeplorableBabe/status/1200537829635510273
2019-11-29 22:11:34,RobertWJr2,alexburnsNYT,0,0,0,"Your story is a complete white progressive delusion",,,,1200537815945220096,https://twitter.com/RobertWJr2/status/1200537815945220096
2019-11-29 22:11:34,rigglyriggly,CorrectAndrew,0,0,0,"It would be, which is why the only way I’d support it is if it replaced the current income tax or it funded UBI",,,,1200537813353160704,https://twitter.com/rigglyriggly/status/1200537813353160704
2019-11-29 22:11:34,lquessenberry,kaehvogel,0,0,0,"Well I mean that makes sense seeing as how he’s from Vermont and not Venezuela.",,,,1200537813227360256,https://twitter.com/lquessenberry/status/1200537813227360256
2019-11-29 22:11:34,PeterDrews6,EmersonPolling,0,0,0,"Funny how the Top 4 would not fair well in a general election, but #5 would be the toughest matchup for Trump. #TulsiGabbard",,,#5 #TulsiGabbard,1200537812883460099,https://twitter.com/PeterDrews6/status/1200537812883460099
2019-11-29 22:11:33,tech_wu,sloyoroll01973,0,0,0,"""We are The Champions!"" The Resistance Shall Prevail! Impeachment Day is coming! Have a Merry Impeachmas and a Happy New President Bernie Sanders 2020! #BernieSanders2020 #Trump4Prison2020 #ImpeachAndRemoveTrump #LockHimUppic.twitter.com/ldVh0nF9ct",,,#BernieSanders2020 #Trump4Prison2020 #ImpeachAndRemoveTrump #LockHimUppic,1200537810148528128,https://twitter.com/tech_wu/status/1200537810148528128
2019-11-29 22:11:33,kaehvogel,lquessenberry,0,0,0,"Oh, you're starting to get it. Although, unfortunately, Aubrey nutjob up there will still tell his kids that Bernie and the government are totally going to exploit them and drive them into poverty or some bs...",,,,1200537809037201408,https://twitter.com/kaehvogel/status/1200537809037201408
