date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-29 22:00:02,jburris69,JoeBiden,0,0,0,"Are you taking Hunter and grandchild with you",,,,1200534911809134593,https://twitter.com/jburris69/status/1200534911809134593
2019-11-29 22:00:01,3BestGuccifer,,0,0,0,"@JoeBiden we need a clear answer for clean energy revolution and environmental justice and your own campaign that is unfocused with 'past record with busing and school desegregation'. #Biden2020",,@JoeBiden,#Biden2020,1200534909019983876,https://twitter.com/3BestGuccifer/status/1200534909019983876
2019-11-29 22:00:00,niles38,GunnelsWarren,0,0,0,"Can we just call Joe Biden and all the other neoliberals liars then? #MedicareForAllhttps://twitter.com/GunnelsWarren/status/1200450688217731073 …",,,#MedicareForAllhttps,1200534901793144834,https://twitter.com/niles38/status/1200534901793144834
2019-11-29 21:59:56,CDNnow,,0,0,0,"Hunter Biden’s Alleged Baby Mama Worked At DC Strip Club: Report Former Vice President Joe Biden’s son allegedly frequented a Washington, D.C., strip club where his “baby ... http://bit.ly/2OvQ2Xu #hunterbiden #lundenalexisrobertspic.twitter.com/8YRcUdRORh",,,#hunterbiden #lundenalexisrobertspic,1200534886127480832,https://twitter.com/CDNnow/status/1200534886127480832
2019-11-29 21:59:42,tturnt1,giantstoe,0,0,0,"Says the person citing http://saraacarter.com",,,,1200534828011143174,https://twitter.com/tturnt1/status/1200534828011143174
2019-11-29 21:59:42,RachaelAHancock,TrueFactsStated,0,0,0,"Just #VoteBlueNoMatterWho. Nkt that hard.",,,#VoteBlueNoMatterWho,1200534827067412485,https://twitter.com/RachaelAHancock/status/1200534827067412485
2019-11-29 21:59:40,trugloree,lindyli,0,0,0,"@lindyli MAJOR THUMBS UP! @SenatorShaheen @JoeBiden #Biden2020https://twitter.com/lindyli/status/1200451860706025475 …",,@lindyli @SenatorShaheen @JoeBiden,#Biden2020https,1200534821073764352,https://twitter.com/trugloree/status/1200534821073764352
2019-11-29 21:59:29,JohnLepper6,RyanAFournier,0,0,0,"Meanwhile Joe Biden's last 24 hours: He lost his teeth 3 times He celebrated the 4th of July yesterday He pooped his pants 2 times He talked for an hour about how he took on gang leader Corn Pop in the 1950's. He forgot what State he was in & he says he never heard of Burisma.",,,,1200534772860293120,https://twitter.com/JohnLepper6/status/1200534772860293120
2019-11-29 21:59:22,MTPSU1987,itsbroby,0,0,0,"Broby ...THINKS he's an educator...I can imagine his role as an educator....do you even know what a ratio is?",,,,1200534745047863297,https://twitter.com/MTPSU1987/status/1200534745047863297
2019-11-29 21:59:16,Opiferus,JoeBiden,0,0,0,"If every criminal can be forgiven and allowed to reintegrate with society as if nothing ever happened, where’s the incentive to do right? And Joe, the Trump Trains a comin!!!pic.twitter.com/p08Djbv0Fm",,,,1200534717155696642,https://twitter.com/Opiferus/status/1200534717155696642
2019-11-29 21:59:14,jburris69,JoeBiden,0,0,0,"Is Hunter somewhere cooking something up? No wonder @JoeBiden is not against Drug control",,@JoeBiden,,1200534710038024193,https://twitter.com/jburris69/status/1200534710038024193
2019-11-29 21:59:06,Dsandz15,,0,0,0,"Can’t wait to see how Joe Biden playes in the first two states and see if he can hold on to South Carolina! The father of the crime bill, we hate to see it",,,,1200534678777806850,https://twitter.com/Dsandz15/status/1200534678777806850
2019-11-29 21:59:05,NatSecReporter,,0,0,1,"So, Joe Biden, the primary architect of modern racialized mass incarceration (with hattips to Reagan and Nixon, of course) ""believes in redemption"" and he's gonna give all those folks whose lives he helped destroy... a CHANCE to maybe get an $8 an hour job at an Amazon warehouse?",,,,1200534671211282432,https://twitter.com/NatSecReporter/status/1200534671211282432
