date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-29 22:08:57,TonyFrance7,,0,0,0,"The Hope of the Democrat Party: Michael Bloomberg Says He'll Take Money from the Poor Because ""Then the Poor Will Live Longer"" (VIDEO) https://www.thegatewaypundit.com/2019/11/the-hope-of-the-democrat-party-michael-bloomberg-says-hell-take-money-from-the-poor-because-then-the-poor-will-live-longer-video/ … via @gatewaypundit",,@gatewaypundit,,1200537154113482752,https://twitter.com/TonyFrance7/status/1200537154113482752
2019-11-29 22:08:51,nickp_39,odonnell_r,0,0,0,"@MikeBloomberg what the fuck?",,@MikeBloomberg,,1200537130407206912,https://twitter.com/nickp_39/status/1200537130407206912
2019-11-29 22:08:49,smokeynj123,JuliaCarmel__,0,0,0,"Michael Bloomberg is just as cruel as Trump.",,,,1200537123641794560,https://twitter.com/smokeynj123/status/1200537123641794560
2019-11-29 22:08:39,MatTactics,odonnell_r,0,0,0,"So Michael Bloomberg sees taxes as a weapon to manipulate the behavior of the poor class. https://twitter.com/odonnell_r/status/1200074757196132354 …",,,,1200537081120018433,https://twitter.com/MatTactics/status/1200537081120018433
2019-11-29 22:08:25,FullBloom19,MikeBloomberg,0,0,0,"http://Bloomberg2020.org pic.twitter.com/QYh2eAcmfg",,,,1200537021799944194,https://twitter.com/FullBloom19/status/1200537021799944194
2019-11-29 22:08:20,AwakeToRight,,0,0,0,"2020 Democrat Candidate Michael Bloomberg Once Said It Was Good To Tax The Poor (VIDEO) https://americanlookout.com/2020-democrat-candidate-michael-bloomberg-once-said-it-was-good-to-tax-the-poor-video/ …",,,,1200537001075888128,https://twitter.com/AwakeToRight/status/1200537001075888128
2019-11-29 22:08:13,MichaelBettiol1,FiringLineShow,0,0,0,"Is this guy for real?",,,,1200536972093206528,https://twitter.com/MichaelBettiol1/status/1200536972093206528
2019-11-29 22:07:59,STurklebvg,brithume,0,0,0,"@MikeBloomberg Yeah nanny, like food, housing, medicine or transportation? YOU CAN’T FIX #STUPIDhttps://twitter.com/brithume/status/1200508833350766592 …",,@MikeBloomberg,#STUPIDhttps,1200536911808466944,https://twitter.com/STurklebvg/status/1200536911808466944
2019-11-29 22:07:46,nomore57960848,,0,0,0,"The only candidate right now who is running against Trump and not against other Democrats is Michael Bloomberg I don't want Michael Bloomberg I just wish a couple of the candidates would speak up against Trump",,,,1200536858964430848,https://twitter.com/nomore57960848/status/1200536858964430848
2019-11-29 22:07:35,TJWooster,manny_ottawa,0,0,0,"#Dolt",,,#Dolt,1200536812751486976,https://twitter.com/TJWooster/status/1200536812751486976
2019-11-29 22:07:20,LivePDDave1,,0,1,0,"Can you imagine Little Bitty Michael Bloomberg debating President Trump in a town-hall setting?What a joke that would be. His official height is listed at 5'7"" but I ain't buying it. He's 5'3"" max. Here’s How Short Michael Bloomberg Is https://dailycaller.com/2019/11/08/michael-bloomberg-height/ … via @dailycaller",,@dailycaller,,1200536750172585984,https://twitter.com/LivePDDave1/status/1200536750172585984
2019-11-29 22:07:17,SirRodrickPonce,,0,0,0,"@MikeBloomberg look, ousting Trump from office is a laudable goal. However America can't afford another billionaire president. Be it Democrat or Republican. A billionaire president simply concentrates too much power in one individual. Plus there's a massive conflict of interest.",,@MikeBloomberg,,1200536736662740992,https://twitter.com/SirRodrickPonce/status/1200536736662740992
2019-11-29 22:07:11,GregAurand,brithume,0,0,0,"This is just what America needs, a President like @MikeBloomberg who knows best what’s good for us, and isn’t afraid to force us to comply, regardless of our god given rights and constitutional freedoms. I’m sure this will be attractive to liberals, who are trying to oust @Potus",,@MikeBloomberg @Potus,,1200536711513677824,https://twitter.com/GregAurand/status/1200536711513677824
2019-11-29 22:07:01,PO66132234,d_fucile,0,0,0,"lol @MikeBloomberg #WhoandWhyMikeBloomberg #MikeBloomberWillNeverBePOTUS #MikeBloombergMoreMoneyThanSense #WantSodaSizeRegulatedMikesTheMan #MikeBloombergWillConfiscateGuns #AskMikeBAboutHisTiesToEpstein #MikeBloombrgWantsToTaxPoorHeavilyhttps://twitter.com/d_fucile/status/1200534047904194560 …",,@MikeBloomberg,#WhoandWhyMikeBloomberg #MikeBloomberWillNeverBePOTUS #MikeBloombergMoreMoneyThanSense #WantSodaSizeRegulatedMikesTheMan #MikeBloombergWillConfiscateGuns #AskMikeBAboutHisTiesToEpstein #MikeBloombrgWantsToTaxPoorHeavilyhttps,1200536669209927681,https://twitter.com/PO66132234/status/1200536669209927681
2019-11-29 22:06:55,todd_butler,,0,0,0,"@MikeBloomberg is the KING OF STOP & FRISK. HE ALSO JUST DID A POLITICAL STOP & FRISK ON KAMALA HARRIS. I would say he will FOREVER have a Black & Brown problem. I hope that Mayor in Columbia SC is paying attention because NEVER make a deal with the DEVIL!!!",,@MikeBloomberg,,1200536642169311237,https://twitter.com/todd_butler/status/1200536642169311237
2019-11-29 22:06:12,HouseofAMOD_,Jwheels208,0,0,0,"Wait what",,,,1200536463026409474,https://twitter.com/HouseofAMOD_/status/1200536463026409474
2019-11-29 22:06:07,CDonatac,,0,0,2,"Michael Bloomberg Did a Hit Job on Kamala Harris: Here's Why https://organizeandwin.com/michael-bloomberg-did-a-hit-job-on-kamala-harris-heres-why/ …",,,,1200536443959021569,https://twitter.com/CDonatac/status/1200536443959021569
2019-11-29 22:06:07,____Taty,,0,0,0,"Michael Bloomberg with the almost certainly 100% willing NYTimes, did a hit piece on Kamala. Please read this article by Al Giordano, and then donate to Kamala here: https://secure.actblue.com/donate/kdh-social-november-challenge … https://organizeandwin.com/michael-bloomberg-did-a-hit-job-on-kamala-harris-heres-why/ …",,,,1200536441694117891,https://twitter.com/____Taty/status/1200536441694117891
2019-11-29 22:05:59,IronHorseCowbo3,,0,0,0,"The Hope of the Democrat Party: Michael Bloomberg Says He'll Take Money from the Poor Because ""Then the Poor Will Live Longer"" (VIDEO) https://www.thegatewaypundit.com/2019/11/the-hope-of-the-democrat-party-michael-bloomberg-says-hell-take-money-from-the-poor-because-then-the-poor-will-live-longer-video/ … via @gatewaypundit",,@gatewaypundit,,1200536410748534784,https://twitter.com/IronHorseCowbo3/status/1200536410748534784
2019-11-29 22:05:58,DavidWalkerCLT,,0,0,1,"So @MikeBloomberg is gonna answer the age old question. How do you out-Delaney @JohnDelaney?",,@MikeBloomberg @JohnDelaney,,1200536406138986497,https://twitter.com/DavidWalkerCLT/status/1200536406138986497
2019-11-29 22:05:56,jjenningsUSA,caroljsroth,0,0,0,"So grateful to Michael Bloomberg for realizing that taxing the poor will make them live longer. Now I know how to vote.",,,,1200536396785545216,https://twitter.com/jjenningsUSA/status/1200536396785545216
