favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
22,SocialFlow,"JUST IN: The US economy added 164,000 jobs in July. The unemployment rate remained at 3.7% https://t.co/DdiJqRbxl5 https://t.co/VSzKgsMIUX",,False,Fri Aug 02 12:42:16 +0000 2019,9,1157270389686452224
76,SocialFlow,"Dayton mayor ""at a loss"" for why President Trump aired his grievances following hospital visit… https://t.co/4r87aNrGIu",,False,Thu Aug 08 14:43:03 +0000 2019,27,1159475111600279552
149,SocialFlow,"Hillary Clinton says staying in her marriage was one of the ""gutsiest"" things she's ever done… https://t.co/OE79KnGuDR",,False,Tue Oct 01 15:46:30 +0000 2019,16,1179060024737439745
89,SocialFlow,"Fire crews, air drops and a herd of goats help save Reagan Presidential Library from wildfire https://t.co/r0QzRnRpJb",,False,Thu Oct 31 21:35:04 +0000 2019,33,1190019378739392512
68,SocialFlow,"Elizabeth Warren slams Michael Bloomberg: He's trying to ""buy the nomination"" https://t.co/0cRRos1WR4 https://t.co/4VLC8d1RkI",,False,Wed Nov 27 00:11:04 +0000 2019,10,1199480724266668032
9,SocialFlow,The rise and fall and rise and fall and rise(?) of Mark Sanford | Analysis by CNN's Chris Cillizza… https://t.co/6Orjt9rmn7,,False,Mon Sep 09 19:35:07 +0000 2019,4,1171145025960534017
17,SocialFlow,Get smart on impeachment before Thanksgiving dinner | Analysis https://t.co/ULtVAa3IWY https://t.co/LrcOAMUX5S,,False,Thu Nov 28 20:15:05 +0000 2019,6,1200146114390962179
776,SocialFlow,"FBI did not try to place undercover agents inside Trump campaign, DOJ inspector general's report is expected to fin… https://t.co/4H6afWQSHq",,False,Wed Nov 27 21:40:06 +0000 2019,307,1199805119900069889
68,SocialFlow,"JUST IN: The Mueller investigation cost a total of $32 million, Justice Department says
https://t.co/VlLgoMoDf4 https://t.co/fiUdzfuhCl",,False,Fri Aug 02 19:37:04 +0000 2019,40,1157374777977430016
24,SocialFlow,Tulsi Gabbard: Syrian leader Bashar Assad is “a brutal dictator” https://t.co/0j2SnJkdNu https://t.co/BoQTrS89uL,,False,Fri Aug 02 12:01:07 +0000 2019,8,1157260032444182528
