date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-14 23:55:26,CarmitaVictoria,AOC,0,0,0,"Instead your Party decides to find any way possible to Impeach President Trump, he keeps getting all the press, Dem’s look ridiculous, Democratic candidates get no press, and So Trump wins again next year! Yay",,,,1195128135370584064,https://twitter.com/CarmitaVictoria/status/1195128135370584064
2019-11-14 23:48:31,PassTheBeerNuts,,0,0,0,"I just saw the long list of Democratic presidential candidates, I remember asking my mom if you have to have the last name of Kennedy to be president.",,,,1195126394424102913,https://twitter.com/PassTheBeerNuts/status/1195126394424102913
2019-11-14 23:48:18,CPDAction,,0,3,3,"In this edition: Chaos reigns in the Democratic primary, left-wing candidates count their election wins, and a Pennsylvania poll has more signs of trouble for the president. https://www.washingtonpost.com/politics/paloma/the-trailer/2019/11/14/the-trailer-the-democratic-centrists-are-worrying/5dcc7697602ff1184c31648f/ …",,,,1195126340485369859,https://twitter.com/CPDAction/status/1195126340485369859
2019-11-14 23:41:45,Sarah24usa,marcodellacava,0,0,9,"“Sometimes presidential candidates don’t talk about Latinos in uplifting ways but just as victims, and we need to challenge that image,” says Sarah Souza, president of the San Francisco Latino Democratic Club, the first DACA recipient , or ""Dreamer,"" to be appointed to the post."" https://twitter.com/marcodellacava/status/1195016780814487552 …",,,,1195124693654589440,https://twitter.com/Sarah24usa/status/1195124693654589440
2019-11-14 23:34:54,no0t_noot,,0,0,0,"things that happen if trump gets removed: mike pence becomes president dems don't get stronger tbh if the Democratic Party was focusing on improving themselves rather than tearing down the Republicans, we may have had more than 2.5 actually decent dem candidates",,,,1195122968898232320,https://twitter.com/no0t_noot/status/1195122968898232320
2019-11-14 23:16:31,Aspengardener,,0,0,0,"I'm appalled at the lack of leadership and strategy of the Democratic Party, that all of these ridiculous candidates ran for president and are still entering the race. A small-town mayor? Several w hardly any experience? This feels absolutely ridiculous.",,,,1195118340852920321,https://twitter.com/Aspengardener/status/1195118340852920321
2019-11-14 22:30:22,CypherRebel,,0,0,0,"@CBSNews Does anyone else see how *18* Democratic Candidates looks like a mad hail Mary attempt by the Republicans opposing party to break up the current President's potential future voters into smaller subgroups without voices by splitting between several candidates?",,@CBSNews,,1195106729450786816,https://twitter.com/CypherRebel/status/1195106729450786816
2019-11-14 21:51:39,TheDFShow,,0,0,1,"Someone wants to run for President, go for it, right; but not sure it’s the best look for a prominent member of the Democratic Party, as a former governor would be, to basically announce that none of the current candidates are good enough to be the President.",,,,1195096983309967360,https://twitter.com/TheDFShow/status/1195096983309967360
2019-11-14 21:25:03,EducationNext,,0,0,1,"""Polls suggest that aspects of Biden’s education plan, particularly spending on early childhood education, which is backed by most of the Democratic candidates for president as well, can attract bipartisan voter support."" http://ednxt.co/2rIqeib",,,,1195090290673098753,https://twitter.com/EducationNext/status/1195090290673098753
2019-11-14 21:06:04,TheUnalienable,,0,0,0,"Introducing the top Democratic candidates for president! Today’s candidate is @ewarren! Chief Warren brings amazing diversity to the primary race. Not only is she a woman, but her high check bones and negative DNA test somehow prove that she is part Native American. #Warren2020pic.twitter.com/lxw8K5YCIh",,@ewarren,#Warren2020pic,1195085513222307841,https://twitter.com/TheUnalienable/status/1195085513222307841
2019-11-14 20:41:37,StopBigMoney,,1,16,26,"When we sat down with Democratic candidates for president this summer, they had a message to share: THANK YOU. We're so grateful to have all of you as End Citizens United members, working together to overturn Citizens United and stop Big Money! pic.twitter.com/LVy3kDMWYW",,,,1195079359301898240,https://twitter.com/StopBigMoney/status/1195079359301898240
2019-11-14 20:40:05,nytimes,,84,27,71,"The field of Democratic candidates for president is more diverse than ever. But candidates such as Julián Castro and Kamala Harris, who have pitched themselves partially on being a ""first,"" have struggled to gain traction. https://nyti.ms/2qdxORp",,,,1195078971685298176,https://twitter.com/nytimes/status/1195078971685298176
2019-11-14 20:39:43,FilipskiPhotos,DougPolkPoker,0,0,0,"How many democratic candidates for president that are currently running for president in 2020 are currently on the panel of the impeachment hearings? Isn’t Trump their political opponent again? So how are they not trying to drum up dirt to attack their political candidate? Hmmm",,,,1195078881511923714,https://twitter.com/FilipskiPhotos/status/1195078881511923714
