date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-14 23:29:57,Ben_Q_maga,,0,0,0,"a raucous interview with CNN's Chris Cuomo on Thursday, Rudy Giuliani denied asking Ukraine to investigate 2020 Democratic presidential candidate former Vice President Joe Biden and his son Hunter, moments before admitting that he did indeed ask the qestn https://www.realclearpolitics.com/video/2019/09/22/pompeo_trump_sent_defensive_weapons_to_ukraine_obama_sent_blankets.html#…!",,,#,1195121721545756673,https://twitter.com/Ben_Q_maga/status/1195121721545756673
2019-11-14 23:16:23,BoothNinja,Jcee25,1,0,8,"Seeing as there is a real possibility of a Democratic candidate taking back the White House after 2020 - if not 2024 - I highly doubt the Conservatives on the Supreme Court are interested in bestowing upon the role of President a shield of immunity from all form of prosecution.",,,,1195118309227798533,https://twitter.com/BoothNinja/status/1195118309227798533
2019-11-14 23:00:42,Truth247,,1,0,1,"It’s 2023 & the Democratic President has just spoken with the leader of Saudi Arabia & informed him that the maintanence of their American F-22 Raptors will be halted unless Saudis begin an investigation into Saudis purchases of condos from GOP Pres candidate Eric Trump in 2018.",,,,1195114360072548364,https://twitter.com/Truth247/status/1195114360072548364
2019-11-14 22:45:18,SaulGoodmanchi,,0,0,0,"Time to narrow down the Democratic candidate field to the real contenders. Let's get the full weight of sanity behind a real president!!!",,,,1195110485735202816,https://twitter.com/SaulGoodmanchi/status/1195110485735202816
2019-11-14 22:43:21,HooverInst,,2,1,9,"As the Democratic field for president thins out, most supporters of the dropouts will pick another candidate. New poll examines candidate strength by sum of first and second choices: https://hvr.co/2KoC6MB",,,,1195109994359734272,https://twitter.com/HooverInst/status/1195109994359734272
2019-11-14 22:28:29,waxxtrax,SpeakerPelosi,0,0,0,"Ah, Nixon, the candidate the Democratic party funded to beat McGovern because they can't stand progressives. This whole circus is designed IMO to get Trump re-elected because you'd rather have the asshat in chief than risk someone like Tulsi or Bernie becoming our next President.",,,,1195106253577408512,https://twitter.com/waxxtrax/status/1195106253577408512
2019-11-14 22:24:23,AeynaLali,Acosta,0,0,4,"The SCOTUS better kick it back or set a precedent that the @GOP will regret later. Because, as much falling out they like to do over democratic administrations, not seeing the tax returns of a candidate and future Dem president will be the exact medicine they will get.",,@GOP,,1195105222420553728,https://twitter.com/AeynaLali/status/1195105222420553728
2019-11-14 22:07:45,jmsgarrity,politico,3,0,1,"Nancy Pelosi made a severe error. If the Democrats vote to impeach the Senate gets it. Democratic senators running for president have to appear during the trial. The senator candidate for president will not be able to hit the road @SpeakerPelosi @seanhannity",,@SpeakerPelosi @seanhannity,,1195101035188162561,https://twitter.com/jmsgarrity/status/1195101035188162561
2019-11-14 22:05:00,G491Joe,,0,1,1,"Because of this bogus impeachment of a Republican president and a coup d’etat attempt we can expect the same thing to happen to a Democratic candidate when and if they are elected. Adam Schiff and his committee opened Pandora’s box; set a precedent to derail our republic.",,,,1195100343014739968,https://twitter.com/G491Joe/status/1195100343014739968
2019-11-14 21:52:50,StarRayCallaway,FineWineDrinker,0,0,2,"The Democratic Leading Candidate for President..... https://twitter.com/FineWineDrinker/status/1195090971496787981 …",,,,1195097282779045888,https://twitter.com/StarRayCallaway/status/1195097282779045888
2019-11-14 21:12:43,MeerkatCity1,RepAdamSchiff,0,0,0,"It occurred to me after watching the impeachment inquiry that we have had the Democratic President candidate best suited to lead our democracy for all people- all along- Mr. Schiff- You would have all my families votes",,,,1195087185176924161,https://twitter.com/MeerkatCity1/status/1195087185176924161
2019-11-14 21:06:04,TheUnalienable,,0,0,0,"Introducing the top Democratic candidates for president! Today’s candidate is @ewarren! Chief Warren brings amazing diversity to the primary race. Not only is she a woman, but her high check bones and negative DNA test somehow prove that she is part Native American. #Warren2020pic.twitter.com/lxw8K5YCIh",,@ewarren,#Warren2020pic,1195085513222307841,https://twitter.com/TheUnalienable/status/1195085513222307841
2019-11-14 21:01:39,rickSchon,TheRickWilson,0,0,0,"Maybe a Democratic candidate for President should reach out to Russia to get that recording. You know, since Republicans are saying it's okay to do that kind of stuff now, and they'd never be hypocritical enough to object. No, wait. Yeah they would. Disregard.",,,,1195084400377180171,https://twitter.com/rickSchon/status/1195084400377180171
2019-11-14 21:01:19,DaveBal58143517,SenSchumer,0,0,0,"The last I heard there’s no law for a President or presidential candidate needs to show their tax returns. He’s doing it to piss off the Democratic Party! He’s given you and that old windbag Clinton donations when he wasn’t President! Your just an old hypocrite. Do Americas work",,,,1195084319376728064,https://twitter.com/DaveBal58143517/status/1195084319376728064
2019-11-14 20:55:32,CoreyMoore_,vote20208,1,0,0,"In regards to your plagiarism comment, if you haven’t noticed every single Democratic candidate for president except for Biden has plagiarized Bernie’s platform in some way. Because they know it’s what the country wants.",,,,1195082862124576792,https://twitter.com/CoreyMoore_/status/1195082862124576792
2019-11-14 20:48:21,JoshMusicant,,0,0,0,"Elizabeth Warren is an extremely strong Democratic candidate for President. Maybe the strongest of my lifetime besides Bernie Sanders. But politics really actually matter and there is no surer advocate for people than Bernie Sanders and we cannot afford less",,,,1195081055730057216,https://twitter.com/JoshMusicant/status/1195081055730057216
2019-11-14 20:45:15,Wormwoo99297334,,0,0,0,"All these Trump-like billionaires vying to be the Democratic candidate for President just highlights how corrupt American politics has become. They don't want the system that works for them to fall, so they're throwing their money at it to stifle the the extreme left.",,,,1195080274301730816,https://twitter.com/Wormwoo99297334/status/1195080274301730816
